日文,中文,對戰,冒險
あくしゅう,惡臭,以招式給予對手傷害時，有10%的機率使對手出現「畏懼」反應。,排在隊伍最前面時，遭遇野生的Pokemon減為0.5倍。於戰爭金字塔內減為0.75倍。
あついしぼう,厚脂肪,因「火」、「冰」屬性招式而受到的損傷減半。,
あとだし,慢出,使出招式的時機必定為最後。,
あまのじゃく,唱反調,能力變化反轉（能力提升效果變成降低、降低效果變成提升）。,
あめうけざら,雨盤,天氣為「あめ（下雨）」狀態時，每回合結束時可恢復HP最大值的16分之1，且不會受到「あられ（冰雹）」的傷害。,
あめふらし,降雨,出場戰鬥後5回合內，天氣為「あめ（下雨）」狀態。,
ありじごく,沙穴,對手無法逃跑或進行替換，但對手仍可使用「バトンタッチ」（對具有特性「ふゆう」或「飛」系的Pokemon無效）。,
いかく,威嚇,出場戰鬥時，使對手「攻擊」降低一階級。,排在隊伍最前面時，遭遇比自己低5個等級或以上的野生Pokemon機率減為0.5倍。
いかりのつぼ,憤怒穴位,被招式命中要害時，「攻擊」提升到最高階段。,
いしあたま,堅硬腦袋,出招後使對手受傷，自己也會受到反彈而受傷的招式，可使反彈傷害無效。,
いたずらごころ,惡作劇之心,使用變化招式時，先制+1。攻擊對象為「惡」系Pokemon時無效。,
いやしのこころ,治癒之心,每回合結束時，有3分之1的機率治好自己以外同伴的異常狀態。,
いろめがね,有色眼鏡,對於「效果不佳」之適性，可忽視一階級進行攻擊（0.5倍傷害變成1倍、0.25倍變成0.5倍）。,
うるおいボイス,濕潤之聲,所有聲音招式變為「水」屬性招式。,
うるおいボディ,濕潤之軀,天氣為「あめ（下雨）」狀態時，回合結束時可治好異常狀態。,
えんかく,遠隔,自己的招式不需直接攻擊對手。,
おどりこ,舞者,當場上其他Pokemon使用舞蹈招式時，自己將緊隨其後使用相同舞蹈招式。,
おみとおし,察覺,出場戰鬥時，可得知對手攜帶的道具。,
おやこあい,親子愛,所有對單一對手攻擊且只攻擊一次的招式，連續使出兩次，但第二次的招式威力減為4分之1。,
おわりのだいち,終結之地,出場戰鬥後至自己被替換或「瀕死」為止，天氣為「ひざしがとてもつよい（猛暑）」狀態，無法被其他天氣或特性改變。所有「水」屬性招式無效化。,
かいりきバサミ,怪力鉗,「攻擊」不會因對手的招式或特性而被降低。,
かがくのちから,化學之力,複製被擊倒的同伴的特性，變成自己的特性。,
かげふみ,踩影,對手無法逃跑或進行替換（對攜帶「きれいなぬけがら」或「鬼」系Pokemon或無效）。,
かそく,加速,每回合結束時，「速度」提升一階級。,
かたいツメ,硬爪,直接攻擊招式的威力增加1.3倍。,
かたやぶり,破格,可不受對手特性之影響而使出招式。對攻擊後發生效果的特性無效。,
かちき,好勝,因對手的招式或特性等，導致任一項能力降低時，「特攻」提升兩階級。,
かるわざ,輕裝,失去攜帶的道具後，「速度」變成2倍。再次擁有道具時恢復原值。一開始就沒有攜帶道具時無效。,
かわりもの,變身者,出場時變成對手的Pokemon。,
かんそうはだ,乾燥皮膚,受到「火」屬性招式攻擊時的傷害增加為1.25倍。天氣為「ひざしがつよい（晴天）」狀態時，每回合結束時受到HP最大值8分之1的傷害。受到「水」屬性招式攻擊時將回復HP最大值的4分之1。天氣為「あめ（下雨）」狀態時，每回合結束時可恢復HP最大值的8分之1。,
がんじょう,結實,使具有一擊造成「瀕死」狀態的招式無效。HP全滿時將不會被一擊打倒，能夠留下1HP。,
がんじょうあご,強壯之顎,「かみつく」、「ひっさつまえば」、「かみくだく」、「どくどくのキバ」、「かみなりのキバ」、「こおりのキバ」、「ほのおのキバ」、「サイコファング」之威力增加為1.5倍。,
