,index,日文名,中文名,類型,威力,命中,PP/上限,先制,模式,要害,攻擊範圍,描述,TM,HM,type
0,2,いかりのこな,憤怒粉,變化,,0%,20/,2.0,,,隊友,必定先出招。對手所有招式都將由自己承受。,,,蟲
1,3,いとをはく,吐絲,變化,,95%,40/,,,,自身,使對手的「速度」降低兩階級。,,,蟲
2,4,かいふくしれい,回復指令,變化,,0%,10/,,,,隊友,恢復自己HP最大值的2分之1。,,,蟲
3,5,かふんだんご,花粉團,特殊,90,100%,15/,,,,對方單體,,,,蟲
4,6,きゅうけつ,吸血,物理,80,100%,10/,,,,對方單體,給予對手之傷害值，有2分之1會轉換為自己的HP。,28.0,,蟲
5,7,ぎんいろのかぜ,銀色旋風,特殊,60,100%,5/,,,,對方單體,有10%機率引發自己「攻擊」、「防禦」、「特攻」、「特防」、「速度」提升一階級的追加效果。,,,蟲
6,8,こうげきしれい,攻擊指令,物理,90,100%,15/,,,,對方單體,較容易命中要害。,,,蟲
7,9,ぜったいほしょくかいてんざん,絕對捕食迴旋斬,物理,--,0%,1/,,,,對方單體,,,,蟲
8,10,ちょうのまい,蝶舞,變化,,0%,20/,,,,隊友,使自己的「特攻」、「特防」、「速度」提升一階級。,,,蟲
9,11,であいがしら,迎頭一擊,物理,90,100%,10/,2.0,,,對方單體,,,,蟲
10,12,とどめばり,致命針刺,物理,50,100%,25/,,,,對方單體,以此招式打倒對手時。可使「攻擊」提升兩階級。,,,蟲
11,13,とびかかる,猛撲,物理,80,100%,15/,,,,對方單體,,,,蟲
12,14,とんぼがえり,急速折返,物理,70,100%,20/,,,,對方單體,攻擊後換上侯補的其他Pokemon。,89.0,,蟲
13,15,ねばねばネット,黏黏網,變化,,0%,20/,,,,對方場地,能更換出場的對手之「速度」降低一階級，具有特性「ふゆう」或「飛」系的Pokemon不受影響。,,,蟲
14,16,ふんじん,粉塵,變化,,100%,20/,1.0,,,對方單體,可使在該回合使用「火」屬性招式的對手，受到HP最大值4分之1的傷害。,,,蟲
15,17,ほたるび,螢火,變化,,0%,20/,,,,隊友,使自己的「特攻」提升三階級。,,,蟲
16,18,ぼうぎょしれい,防禦指令,變化,,0%,10/,,,,隊友,使自己的「防禦」、「特防」提升一階級。,,,蟲
17,19,まとわりつく,死纏爛打,特殊,20,100%,20/,,,,對方單體,4到5回合間，每回合結束時使對手受到HP最大值8分之1的損傷。期間內對手無法逃走。,83.0,,蟲
18,20,むしくい,蟲咬,物理,60,100%,20/,,,,對方單體,當對手攜帶可在戰鬥中發揮效果的「果實」時，使「果實」效果發揮在自己身上。,,,蟲
19,21,むしのさざめき,蟲鳴,特殊,90,100%,10/,,,,對方單體,有10%機率引發使對手「特防」降低一階級的追加效果。即時對手使出「みがわり」，攻擊依然可命中。,,,蟲
20,22,むしのていこう,蟲之抵抗,特殊,50,100%,20/,,,,自身,有100%機率引發使對手「特攻」降低一階級的追加效果，攻擊命中複數Pokemon時，威力降為0.75倍。,,,蟲
21,23,れんぞくぎり,連斬,物理,40,95%,20/,,,,對方單體,招式每次命中都可使招式威力增強為2倍（最高為120）。一旦落空，威力就會恢復原狀。,,,蟲
22,24,クモのす,蛛網,變化,,0%,10/,,,,對方單體,對手將無法逃走，對戰時則將無法替換（交替效果取消）。,,,蟲
23,25,シグナルビーム,信號光束,特殊,75,100%,15/,,,,對方單體,有10%機率引發使對手陷入「混亂」狀態的追加效果。,,,蟲
24,26,シザークロス,十字剪,物理,80,100%,15/,,,,對方單體,普通的攻擊。,81.0,,蟲
25,27,ダブルニードル,雙針,物理,25,100%,20/,,,,對方單體,連續兩次的攻擊。有20%機率引發使對手陷入「中毒」狀態的追加效果。,,,蟲
26,28,ハードローラー,瘋狂滾壓,物理,65,100%,20/,,,,對方單體,有30%機率引發使對手產生「畏懼」反應的追加效果。對手使用「まるくなる」，威力增加為2倍。,,,蟲
27,29,ミサイルばり,飛彈針,物理,25,95%,20/,,,,對方單體,連續二到五次的攻擊。37.5%攻擊2或3次、12.5%攻擊4或5次。,,,蟲
28,30,メガホーン,超級角擊,物理,120,85%,10/,,,,對方單體,普通的攻擊。,,,蟲
