,index,日文名,中文名,類型,威力,命中,PP/上限,先制,模式,要害,攻擊範圍,描述,TM,HM,type
0,2,あくのはどう,惡之波動,特殊,80,100%,15/,,,,對方單體,有20%機率引發使對手產生「畏懼」反應的追加效果。,97.0,,惡
1,3,いじげんラッシュ,異次元猛攻,物理,100,0%,5/,,,,對方單體,,,,惡
2,4,いちゃもん,無理取鬧,變化,,100%,15/,,,,對方單體,使對手陷入「無法連續使用同一招式」的狀態。,41.0,,惡
3,5,うそなき,假哭,變化,,100%,20/,,,,對方單體,使對手的「特防」降低兩階級。,,,惡
4,6,おいうち,追打,物理,40,100%,20/,,,,對方單體,當對手更換Pokemon時，攻擊將要退下的Pokemon，招式威力增加為2倍。,,,惡
5,7,おきみやげ,臨別禮物,變化,,100%,10/,,,,對方單體,自己陷入「瀕死」狀態，但同時可使對手的「攻擊」、「特攻」降低兩階級。,,,惡
6,8,おしおき,懲罰,物理,--,100%,5/,,,,對方單體,對手的能力提升愈多，則威力愈強（最高為200）。,,,惡
7,9,おだてる,吹捧,變化,,100%,15/,,,,對方單體,雖然可使對手陷入「混亂」狀態，但也會讓對手「特攻」提升一階級。,,,惡
8,10,かみくだく,咬碎,物理,80,100%,15/,,,,對方單體,有20%機率引發使對手「防禦」降低一階級的追加效果。,,,惡
9,11,かみつく,咬住,物理,60,100%,25/,,,,對方單體,有30%機率引發使對手產生「畏懼」反應的追加效果。,,,惡
10,12,さきおくり,延後,變化,,100%,15/,,,,對方單體,可無視「速度」影響，將對象Pokemon的行動強制移到最後，限該回合有效。對已經結束行動的Pokemon使用則會失敗。,60.0,,惡
11,13,さしおさえ,查封,變化,,100%,15/,,,,對方單體,使對手在5回合內無法使用道具。訓練家也無法對該Pokemon使用。,63.0,,惡
12,14,しっぺがえし,以牙還牙,物理,50,100%,10/,,,,對方單體,比對手晚出招時，威力增加為2倍。,66.0,,惡
13,15,じごくづき,地獄突刺,物理,80,100%,15/,,,,對方單體,,,,惡
14,16,すてゼリフ,拋下狠話,變化,,100%,20/,,,,對方單體,使對的「攻擊」、「特攻」降低一階級後，自己也會換成侯補其他的Pokemon，即使對手使出「みがわり」，攻擊依然可命中。,,,惡
15,17,すりかえ,掉包,變化,,100%,10/,,,,對方單體,將對手攜帶的道具與自己的道具交換。,,,惡
16,18,だましうち,出奇一擊,物理,60,0%,20/,,,,對方單體,攻擊必定命中對手。,,,惡
17,19,ちょうはつ,挑釁,變化,,100%,20/,,,,對方單體,使對手在3回合內只能使出攻擊招式。,12.0,,惡
18,20,つけあがる,囂張,物理,20,100%,10/,,,,對方單體,,,,惡
19,21,つじぎり,暗襲要害,物理,70,100%,15/,,,,對方單體,較容易命中要害。,,,惡
20,22,つめとぎ,磨爪,變化,,0%,15/,,,,隊友,使自己的「攻擊」與「命中率」提升一階級。,,,惡
21,23,どろぼう,小偷,物理,60,100%,25/,,,,對方單體,當對手擁有道具而且自己沒有攜帶道具時，可套取道具佔為己有。對手沒有攜帶道具時則是普通的攻擊。,46.0,,惡
22,24,なげつける,投擲,物理,--,100%,10/,,,,對方單體,將攜帶的道具丟向對手進行攻擊。招式威力與效果會根據道具不同而改變。,56.0,,惡
23,25,はたきおとす,拍落,物理,65,100%,20/,,,,對方單體,使對手變成沒有攜帶道具的狀態。可給予帶著道具的對手1.5倍的傷害。戰鬥後，道具會恢復原狀。,,,惡
24,26,ひっくりかえす,顛倒,變化,,0%,20/,,,,對方單體,使對手的能力變化狀況發生逆轉。,,,惡
25,27,ふいうち,突襲,物理,70,100%,5/,1.0,,,對方單體,對手所選的招式為攻擊招式時可發動先制攻擊。使對手受到傷害。非攻擊招式則會失敗。,,,惡
26,28,ふくろだたき,圍攻,物理,--,100%,10/,,,,對方單體,攻擊次數為包含自己在內的，隊伍中Pokemon的數量，「瀕死」狀態與陷入異常狀態的Pokemon不算在內。 威力=（該Pokemon攻擊力÷10）+5。,,,惡
27,29,ぶんまわす,狂舞揮打,物理,60,100%,20/,,,,全場場地,,59.0,,惡
28,30,よこどり,搶奪,變化,,0%,10/,4.0,,,隊友,發動先制攻擊。使其他Pokemon在該回合使用的治療招式，能力變化招式之效果歸為己有。,,,惡
29,31,わるだくみ,詭計,變化,,0%,20/,,,,隊友,使自己的「特攻」提升兩階級。,,,惡
30,32,イカサマ,欺詐,物理,95,100%,15/,,,,對方單體,利用對手的「攻擊」進行攻擊。傷害將根據對手的「攻擊」與「防禦」值而改變。,,,惡
31,33,ダメおし,惡意追擊,物理,60,100%,10/,,,,對方單體,對手在該回合已受過傷害時，威力增加為2倍。,,,惡
32,34,ダークホール,暗黑洞,變化,,50%,10/,,,,自身,使對手陷入「睡眠」狀態。,,,惡
33,35,ナイトバースト,暗黑爆破,特殊,85,95%,10/,,,,對方單體,有40%機率引發使對手的命中率降低一階級的追加效果。,,,惡
34,36,ハイパーダーククラッシャー,極惡飛躍粉碎擊,物理,180,0%,1/,,,,對方單體,,,,惡
35,37,バークアウト,大聲咆哮,特殊,55,95%,15/,,,,自身,有100%機率引發使對手「特攻」降低一階級的追加效果。即使對手使用「みがわり」，攻擊仍可命中。攻擊命中複數Pokemon時，威力降為0.75倍。,95.0,,惡
36,38,ブラックホールイクリプス,黑洞吞噬萬物滅,物理,--,0%,1/,,,,對方單體,,,,惡
37,39,ＤＤラリアット,ＤＤ金勾臂,物理,85,100%,10/,,,,對方單體,,,,惡
