,index,日文名,中文名,類型,威力,命中,PP/上限,先制,模式,要害,攻擊範圍,描述,TM,HM,type
0,2,あくうせつだん,亞空裂斬,特殊,100,95%,5/,,,,對方單體,較容易命中要害。,,,龍
1,3,げきりん,逆鱗,物理,120,100%,10/,,,,我方全員,2到3回合連續攻擊（攻擊中無法操作）。效果結束後，自己陷入「混亂」狀態。,,,龍
2,4,たつまき,龍捲風,特殊,40,100%,20/,,,,自身,有20%機率引發使對手產生「畏懼」反應的追加效果。即使對手利用「そらをとぶ」或「とびはねる」等招式處於浮空狀態，依然可進行攻擊。而且威力增加為2倍。攻擊命中複數Pokemon時，威力降為0.75倍。,,,龍
3,5,ときのほうこう,時光咆哮,特殊,150,90%,5/,,,,對方單體,使用後，下一回合將無法行動。,,,龍
4,6,りゅうせいぐん,流星群,特殊,130,90%,5/,,,,對方單體,使自己的「特攻」降低兩階級。,,,龍
5,7,りゅうのいかり,龍之怒,特殊,--,100%,10/,,,,對方單體,給予固定為40點的傷害。,,,龍
6,8,りゅうのいぶき,龍息,特殊,60,100%,20/,,,,對方單體,有30%機率引發使對手陷入「麻痺」狀態的追加效果。,,,龍
7,9,りゅうのはどう,龍之波動,特殊,85,100%,10/,,,,對方單體,普通的攻擊。,,,龍
8,10,りゅうのまい,龍之舞,變化,,0%,20/,,,,隊友,使自己的「攻擊」、「速度」提升一階級。,,,龍
9,11,アルティメットドラゴンバーン,究極巨龍震天地,物理,--,0%,1/,,,,對方單體,,,,龍
10,12,コアパニッシャー,核心懲罰者,特殊,100,100%,10/,,,,自身,,,,龍
11,13,スケイルノイズ,鱗片噪音,特殊,110,100%,5/,,,,自身,,,,龍
12,14,ダブルチョップ,二連劈,物理,40,90%,15/,,,,對方單體,連續兩次的攻擊。,,,龍
13,15,ドラゴンクロー,龍爪,物理,80,100%,15/,,,,對方單體,普通的攻擊。,2.0,,龍
14,16,ドラゴンダイブ,龍之俯衝,物理,100,75%,10/,,,,對方單體,有20%機率引發使對手產生「畏懼」反應的追加效果。對手使用「ちいさくなる」時則攻擊必定命中。而且威力增加為2倍。,,,龍
15,17,ドラゴンテール,龍尾,物理,60,90%,10/,,,,對方單體,引發與野生Pokemon結束戰鬥的追加效果。在訓練家戰中可強制對手更換Pokemon，但對手沒有可更換的Pokemon時則不會發生追加效果。當野生Pokemon的等級高於我方，或是遇到複數野生Pokemon時則不會發生追加效果。,82.0,,龍
16,18,ドラゴンハンマー,龍錘,物理,90,100%,15/,,,,對方單體,,,,龍
