,index,日文名,中文名,類型,威力,命中,PP/上限,先制,模式,要害,攻擊範圍,描述,TM,HM,type
0,2,あてみなげ,借力摔,物理,70,0%,10/,,,,對方單體,雖然會變成後攻，但攻擊必定命中。,,,格
1,3,いのちがけ,搏命,特殊,--,100%,5/,,,,對方單體,使對手受到自己HP剩餘量的傷害，使用後，自己陷入「頻死」狀態。攻擊落空時則不會陷入「頻死」狀態。,,,格
2,4,いわくだき,碎岩,物理,40,100%,15/,,,,對方單體,有50%的機率引發使對手「防禦」降低一階級的追加效果。冒險中使用：能夠破壞堅硬的岩石，使該處變得能夠通行。破壞時可能會遇到Pokemon，或是取得道具，也可能什麼事都沒發生。,,,格
3,5,からてチョップ,空手劈,物理,50,100%,25/,,,,對方單體,較容易命中要害。,,,格
4,6,かわらわり,劈瓦,物理,75,100%,15/,,,,對方單體,不會受到「リフレクター」的影響，可破壞「リフレクター」與「ひかりのかべ」。,31.0,,格
5,7,きあいだま,真氣彈,特殊,120,70%,5/,,,,對方單體,有10%機率引發使對手「特防」降低一階級的追加效果。,52.0,,格
6,8,きあいパンチ,真氣拳,物理,150,100%,20/,,,,對方單體,成為後攻者。在使出招式前先被對手的攻擊招式命中時，將會發生「畏懼」反應，無法順利出招。,,,格
7,9,きしかいせい,起死回生,物理,--,100%,15/,,,,對方單體,自己剩餘的HP愈少，招式威力愈強。N=餘下HP×64÷最大HP（捨棄小數點）。Ｎ<2 威力200；2<=N<=5 威力150；6<=N<=12 威力100；13<=N<=21 威力80；22<=N<=42 威力40；N>=43 威力20。,,,格
8,10,けたぐり,踢倒,物理,--,100%,20/,,,,對方單體,對手的「體重」愈重，則威力愈強（最高為120）。>0.0kg 20威力、>10.0kg 40威力、>25.0kg 60威力、>50.0kg 80威力、>100.0kg 100威力、>200.0kg 120威力。,,,格
9,11,しんくうは,真空波,特殊,40,100%,30/,1.0,,,對方單體,發動先制攻擊（雙方使出相同的招式時，以「速度」較高者優先）。,,,格
10,12,しんぴのつるぎ,神秘之劍,特殊,85,100%,10/,,,,對方單體,特殊攻擊，物理傷害。傷害根據自己的「特攻」與對手的「防禦」決定。,,,格
11,13,じごくぐるま,地獄翻滾,物理,80,80%,20/,,,,對方單體,自己也會受到給予對手傷害值4分之1的損傷。,,,格
12,14,せいなるつるぎ,聖劍,物理,90,100%,15/,,,,對方單體,不會受到對手的能力變化影響。,,,格
13,15,ぜんりょくむそうげきれつけん,全力無雙激烈拳,物理,--,0%,1/,,,,對方單體,攻擊必定命中對手，即使對方使用「まもる」，攻擊也能成功，但威力降為0.25倍。,,,格
14,16,たたみがえし,掀榻榻米,變化,,0%,10/,,,,全場場地,該回合防禦對手的攻擊招式（同伴受攻擊時也能防禦）。只有在出場後首次行動時才能成功。此外，將無法防禦變化招式。,,,格
15,17,ちきゅうなげ,地球上投,物理,--,100%,20/,,,,對方單體,給予等同於自己等級數值的固定傷害。,,,格
16,18,つっぱり,猛推,物理,15,100%,20/,,,,對方單體,連續二到五次的攻擊。37.5%攻擊2或3次、12.5%攻擊4或5次。,,,格
17,19,とびげり,飛踢,物理,100,95%,10/,,,,對方單體,攻擊落空時，將會受到自己HP最大值2分之1的傷害。,,,格
18,20,とびひざげり,飛膝踢,物理,130,90%,10/,,,,對方單體,攻擊落空時，將會受到自己HP最大值2分之1的傷害。,,,格
19,21,ともえなげ,巴投,物理,60,90%,10/,,,,對方單體,引發與野生Pokemon結束戰鬥的追加效果。在訓練家戰中可強制對手更換Pokemon，但對手沒有可更換的Pokemon時則不會發生追加效果。當野生Pokemon的等級高於我方，或是遇到複數野生Pokemon時則不會發生追加效果。,,,格
20,22,にどげり,二連踢,物理,30,100%,30/,,,,對方單體,連續兩次的攻擊。,,,格
21,23,はっけい,發勁,物理,60,100%,10/,,,,對方單體,有30%機率引發使對手陷入「麻痺」狀態的追加效果。,,,格
22,24,はどうだん,波導彈,特殊,80,0%,20/,,,,對方單體,攻擊必定命中對手。,,,格
23,25,ばかぢから,蠻力,物理,120,100%,5/,,,,對方單體,使自己的「攻擊」、「防禦」降低一階級。,,,格
24,26,ばくれつパンチ,爆裂拳,物理,100,50%,5/,,,,對方單體,有100%機率引發使對手陷入「混亂」狀態的追加效果。,,,格
25,27,まわしげり,迴旋踢,物理,60,85%,15/,,,,對方單體,有30%機率引發使對手產生「畏懼」反應的追加效果。,,,格
26,28,みきり,看穿,變化,,0%,5/,4.0,,,隊友,防禦對手該回合的攻擊。連續使用時，成功率會降低50%。,,,格
27,29,めざましビンタ,喚醒巴掌,物理,70,100%,10/,,,,對方單體,對「睡眠」狀態的對手，招式威力增加為2倍，以此招式造成傷害時，「睡眠」狀態將會解除。,,,格
28,30,やまあらし,山嵐摔,物理,60,100%,10/,,,,對方單體,必定命中要害。,,,格
29,31,アームハンマー,臂錘,物理,100,90%,10/,,,,對方單體,攻擊命中後自己的「速度」降低一階級。,,,格
30,32,インファイト,近身戰,物理,120,100%,5/,,,,對方單體,自己的「防禦」、「特防」降低一階級。,,,格
31,33,カウンター,雙倍奉還,物理,--,100%,20/,,,,己方場地,以2倍回敬對手的物理招式所造成之傷害，但使用時必定為後攻。,,,格
32,34,クロスチョップ,十字劈,物理,100,80%,5/,,,,對方單體,較容易命中要害。,,,格
33,35,グロウパンチ,增強拳,物理,40,100%,20/,,,,對方單體,有100%機率引發使自己「攻擊」提升一階級的追加效果。,,,格
34,36,スカイアッパー,沖天拳,物理,85,90%,15/,,,,對方單體,即使對手利用「そらをとぶ」或「とびはねる」等招式處於浮空狀態，依然可進行攻擊。,,,格
35,37,トリプルキック,三連踢,物理,10,90%,10/,,,,對方單體,一回合內作3次連續攻擊，每次攻擊的威力加10。,,,格
36,38,ドレインパンチ,吸取拳,物理,75,100%,10/,,,,對方單體,給予對手之傷害值，有2分之1會轉換為自己的HP。,,,格
37,39,ビルドアップ,健美,變化,,0%,20/,,,,隊友,使自己的「攻擊」、「防禦」提升一階級。,8.0,,格
38,40,ファストガード,快速防守,變化,,0%,15/,3.0,,,全場場地,防禦該回合對手的先制攻擊招式（同伴受攻擊時也能防禦）。,,,格
39,41,フライングプレス,飛身重壓,物理,100,95%,10/,,,,對方單體,普通的攻擊（同時有「格鬥」與「飛行」屬性的稀有招式）。對手使用「ちいさくなる」時則攻擊必定命中，而且威力增加為2倍。,,,格
40,42,マッハパンチ,音速拳,物理,40,100%,30/,1.0,,,對方單體,發動先制攻擊（雙方使出相同的招式時，以「速度」較高者優先）。,,,格
41,43,リベンジ,報復,物理,60,100%,10/,,,,對方單體,在該回合已受到對手傷害時，招式威力增加為2倍。,,,格
42,44,ローキック,下盤踢,物理,65,100%,20/,,,,對方單體,有100%機率引發使對手「速度」降低一階級的追加效果。,47.0,,格
