,index,日文名,中文名,類型,威力,命中,PP/上限,先制,模式,要害,攻擊範圍,描述,TM,HM,type
0,2,あおいほのお,青焰,特殊,130,85%,5/,,,,對方單體,有20%機率引發使對手陷入「燒傷」狀態的追加效果。,,,火
1,3,おにび,鬼火,變化,,85%,15/,,,,對方單體,使對手陷入「燒傷」狀態。,61.0,,火
2,4,かえんぐるま,火焰輪,物理,60,100%,25/,,,,對方單體,有10%機率引發使對手陷入「燒傷」狀態的追加效果。對手處於「冰凍」狀態時，冰將會融化。在自己處於「冰凍」狀態時也可以使用。可將自己的冰融化。,,,火
3,5,かえんだん,火焰彈,特殊,100,100%,5/,,,,全場場地,有30%機率引發使對手陷入「燒傷」狀態的追加效果。,,,火
4,6,かえんほうしゃ,噴射火焰,特殊,90,100%,15/,,,,對方單體,有10%機率引發使對手陷入「燒傷」狀態的追加效果。對手處於「冰凍」狀態時，冰將會融化。,35.0,,火
5,7,せいなるほのお,神聖之火,物理,100,95%,5/,,,,對方單體,有50%機率引發使對手陷入「燒傷」狀態的追加效果。在自己處於「冰凍」狀態時也可以使用，可將自己的冰融化。,,,火
6,8,だいもんじ,大字爆炎,特殊,110,85%,5/,,,,對方單體,有10%機率引發使對手陷入「燒傷」狀態的追加效果。對手處於「冰凍」狀態時，冰將會融化。,38.0,,火
7,9,にほんばれ,大晴天,變化,,0%,5/,,,,對方隨機,使天候在5回內處於「ひざしがつよい（晴天）」狀態。「ひざしがつよい（晴天）」狀態時、火屬性招式的威力增加為1.5倍。水屬性招式的威力減為0.5倍。,11.0,,火
8,10,ねっぷう,熱風,特殊,95,90%,10/,,,,自身,有10%機率引發使對手陷入「燒傷」狀態的追加效果。對手處於「冰凍」狀態時，冰將會融化。攻擊命中複數Pokemon時，威力降為0.75倍。,,,火
9,11,はじけるほのお,烈焰濺射,特殊,70,100%,15/,,,,對方單體,進行「Double Battle（ダブルバトル）」、「Triple Battle（トリプルバトル）」時，追加的效果會使相鄰的Pokemon也受到HP最大值16分之1的傷害。對手處於「冰凍」狀態時，冰將會融化。,,,火
10,12,ひのこ,火花,特殊,40,100%,25/,,,,對方單體,有10%機率引發使對手陷入「燒傷」狀態的追加效果。對手處於「冰凍」狀態時，冰將會融化。,,,火
11,13,ふんえん,噴煙,特殊,80,100%,15/,,,,全場場地,有30%機率引發使對手陷入「燒傷」狀態的追加效果。對手處於「冰凍」狀態時，冰將會融化。攻擊命中複數Pokemon時，威力降為0.75倍。,,,火
12,14,ふんか,噴火,特殊,150,100%,5/,,,,自身,對手剩下的HP越多，則威力越大。威力=150×餘下HP÷最大HP（捨棄小數點）。威力1~150。,,,火
