,index,日文名,中文名,類型,威力,命中,PP/上限,先制,模式,要害,攻擊範圍,描述,TM,HM,type
0,2,おいかぜ,順風,變化,,0%,15/,,,,全場場地,4回合內，自己與同伴的「速度」增加為2倍。,,,飛
1,3,おしゃべり,喋喋不休,特殊,65,100%,20/,,,,對方單體,有100%機率引發使對手陷入「混亂」狀態的追加效果。即使對手使出「みがわり」，攻擊依然可命中。,,,飛
2,4,かぜおこし,起風,特殊,40,100%,35/,,,,對方單體,即使對手利用「そらをとぶ」或「とびはねる」等招式處於浮空狀態，依然可進行攻擊，而且威力增加為2倍。,,,飛
3,5,きりばらい,清除濃霧,變化,,0%,15/,,,,對方單體,使對手的「迴避率」降低一階級，而且消除對手的「ひかりのかべ」、「リフレクター」、「しんぴのまもり」、「しろいきり」、「まきびし」、「どくびし」、「ステルスロック」之效果。,,,飛
4,6,くちばしキャノン,鳥嘴加農炮,物理,100,100%,15/,,,,對方單體,,,,飛
5,7,そらをとぶ,飛翔,物理,90,95%,15/,,,,對方單體,第一回合飛上空中，第二回內攻擊。冒險中使用：能夠瞬間移動到曾經造訪過的市鎮。,76.0,,飛
6,8,ついばむ,啄食,物理,60,100%,20/,,,,對方單體,當對手攜帶可在戰鬥中發揮效果的「果實」時，使該效果發揮在自己身上。,,,飛
7,9,つつく,啄,物理,35,100%,35/,,,,對方單體,普通的攻擊。,,,飛
8,10,つばさでうつ,翅膀攻擊,物理,60,100%,35/,,,,對方單體,普通的攻擊。,,,飛
9,11,つばめがえし,燕返,物理,60,0%,20/,,,,對方單體,攻擊必定命中對手。,40.0,,飛
10,12,とびはねる,彈跳,物理,85,85%,5/,,,,對方單體,第一回合跳上空中，第二回合攻擊。有30%機率引發使對手陷入「麻痺」狀態的追加效果。,,,飛
11,13,はねやすめ,羽棲,變化,,0%,10/,,,,隊友,恢復自己HP最大值的2分之1。該回合將不是「飛」系屬性。,19.0,,飛
12,14,ぼうふう,暴風,特殊,110,70%,10/,,,,對方單體,有30%機率引發使對手陷入「混亂」狀態的追加效果。天候為「あめ（下雨）」狀態時必定命中，「ひざしがつよい（晴天）」狀態時的命中率則降為50。即使對手利用「そらをとぶ」或「とびはねる」等招式處於浮空狀態，依然可進行攻擊。,,,飛
13,15,アクロバット,雜技,物理,55,100%,15/,,,,對方單體,沒有攜帶道具時，威力增加為2倍。,62.0,,飛
14,16,エアカッター,空氣利刃,特殊,60,95%,25/,,,,自身,較容易命中要害。攻擊命中複數Pokemon時，威力降為0.75倍。,,,飛
15,17,エアスラッシュ,空氣斬,特殊,75,95%,15/,,,,對方單體,有30%機率引發使對手產生「畏懼」反應的追加效果。,,,飛
16,18,エアロブラスト,氣旋攻擊,特殊,100,95%,5/,,,,對方單體,較容易命中要害。,,,飛
17,19,オウムがえし,鸚鵡學舌,變化,,0%,20/,,,,對方單體,使出對手最後用過的招式。,,,飛
18,20,ガリョウテンセイ,畫龍點睛,物理,120,100%,5/,,,,對方單體,,,,飛
19,21,ゴッドバード,神鳥猛擊,物理,140,90%,5/,,,,對方單體,第一回合蓄力，第二回合攻擊的招式，有30%機率引發使對手產生「畏懼」反應的追加效果，較容易命中要害。,,,飛
20,22,デスウイング,死亡之翼,特殊,80,100%,10/,,,,對方單體,給予對手之傷害值。有4分之3會轉換為自己的HP。,,,飛
21,23,ドリルくちばし,啄鑽,物理,80,100%,20/,,,,對方單體,普通的攻擊。,,,飛
22,24,ファイナルダイブクラッシュ,極速俯衝轟烈撞,物理,--,0%,1/,,,,對方單體,,,,飛
23,25,フェザーダンス,羽毛舞,變化,,100%,15/,,,,對方單體,使對手的「攻擊」降低兩階級。,,,飛
24,26,フリーフォール,自由落體,物理,60,100%,10/,,,,對方單體,第一回合將對手帶上空中，第二回合將對手從空中摔落地面，造成傷害。「飛」系的Pokemon不會受傷，較重的Pokemon（200kg以上）則不會被帶上空中。,58.0,,飛
25,27,ブレイブバード,勇鳥猛攻,物理,120,100%,15/,,,,對方單體,自己也會受到給予對手傷害值3分之1的損傷。,,,飛
