,index,日文名,中文名,類型,威力,命中,PP/上限,先制,模式,要害,攻擊範圍,描述,TM,HM,type
0,2,あくむ,惡夢,變化,,100%,15/,,,,對方單體,每回合結束時，對手的HP會以最大值4分之1的量持續減少，對手不在「睡眠」狀態時則不會發生效果。,,,鬼
1,3,あやしいかぜ,奇異之風,特殊,60,100%,5/,,,,對方單體,有10%機率引發自身所有能力（「攻擊」，「防禦」，「特攻」，「特防」，「速度」）提升一階級的追加效果。,,,鬼
2,4,あやしいひかり,奇異之光,變化,,100%,10/,,,,對方單體,使對手陷入「混亂」狀態。,,,鬼
3,5,うらみ,怨恨,變化,,100%,10/,,,,對方單體,使對手最後使出的招式之PP減少4。,,,鬼
4,6,おどろかす,驚嚇,物理,30,100%,15/,,,,對方單體,有30%機率引發使對手產生畏懼反應的追加效果。,,,鬼
5,7,おんねん,怨念,變化,,0%,5/,,,,隊友,因對手的招式傷害而陷入「瀕死」狀態時，使該招式的pp變成0。,,,鬼
6,8,かげうち,影子偷襲,物理,40,100%,30/,1.0,,,對方單體,發動先制攻擊（雙方使出相同的招式時，以「速度」較高者優先）。,,,鬼
7,9,かげぬい,縫影,物理,80,100%,10/,,,,對方單體,,,,鬼
8,10,したでなめる,舌舔,物理,30,100%,30/,,,,對方單體,有30%機率引發使對手陷入「麻痺」狀態的追加效果。,,,鬼
9,11,しちせいだっこんたい,七星奪魂腿,物理,195,0%,1/,,,,對方單體,,,,鬼
10,12,たたりめ,禍不單行,特殊,65,100%,10/,,,,對方單體,可對處於異常狀態中的對手造成2倍傷害。,,,鬼
11,13,のろい,詛咒,變化,,0%,10/,,,,己方場地,自己的「速度」降低一階級。「攻擊」、「防禦」提升一階級。「鬼」系的Pokemon使用時，自己的HP減少最大值的2分之1，但對手則會每回合持續減少HP最大值的4分之1。,,,鬼
12,14,みちづれ,同命,變化,,0%,5/,,,,隊友,使用此招式後，因對手造成的傷害而陷入「瀕死」狀態時，對手也會變成「瀕死」狀態。,,,鬼
13,15,むげんあんやへのいざない,無盡暗夜之誘惑,物理,--,0%,1/,,,,對方單體,,,,鬼
14,16,ゴーストダイブ,潛靈奇襲,物理,90,100%,10/,,,,對方單體,第一回合隱藏姿態，第二回合發動攻擊。即使對手已使用「まもる」、「みきり」，攻擊依然可命中。對手使用「ちいさくなる」時則攻擊必定命中，且威力增加為2倍。,,,鬼
15,17,シャドーアローズストライク,遮天蔽日暗影箭,物理,180,0%,1/,,,,對方單體,,,,鬼
16,18,シャドークロー,暗影爪,物理,70,100%,15/,,,,對方單體,較容易命中要害。,65.0,,鬼
17,19,シャドースチール,暗影偷盜,物理,90,100%,10/,,,,對方單體,,,,鬼
18,20,シャドーダイブ,暗影潛襲,物理,120,100%,5/,,,,對方單體,每一回合躲藏，第二回合發動攻擊。即使對手使用「まもる」、「みきり」，攻擊依然可命中。,,,鬼
19,21,シャドーパンチ,暗影拳,物理,60,0%,20/,,,,對方單體,攻擊必定命中對手。,,,鬼
20,22,シャドーボール,暗影球,特殊,80,100%,15/,,,,對方單體,有20%機率引發使對手「特防」降低一階級的追加效果。,30.0,,鬼
21,23,シャドーボーン,暗影之骨,物理,85,100%,10/,,,,對方單體,,,,鬼
22,24,シャドーレイ,暗影之光,特殊,100,100%,5/,,,,對方單體,,,,鬼
23,25,ナイトヘッド,黑夜魔影,特殊,--,100%,15/,,,,對方單體,給予等同於自己等級數值的固定傷害。,,,鬼
24,26,ハロウィン,萬聖夜,變化,,100%,20/,,,,對方單體,為對手追加「鬼」系屬性。,,,鬼
