,index,日文名,中文名,類型,威力,命中,PP/上限,先制,模式,要害,攻擊範圍,描述,TM,HM,type
0,2,くさのちかい,草之誓約,特殊,80,100%,10/,,,,對方單體,配合「みずのちかい」使用時，威力變成150，而且周圍變成濕地。4回合內，對手位於濕地上的Pokemon之「速度」會降低。配合「ほのおのちかい」使用時，威力變成150，而且周圍變成火海。4回合內，除「火」系的Pokemon之外，在回合結束時將會受到少許傷害。,,,草
1,3,くさぶえ,草笛,變化,,55%,15/,,,,對方單體,使對手陷入「睡眠」狀態。即使對手使出「みがわり」，攻擊依然可命中。,,,草
2,4,くさむすび,打草結,特殊,--,100%,20/,,,,對方單體,對手的「體重」愈重，則威力愈強（最高為120）。>0.0kg 20威力、>10.0kg 40威力、>25.0kg 60威力、>50.0kg 80威力、>100.0kg 100威力、>200.0kg 120威力。,86.0,,草
3,5,こうごうせい,光合作用,變化,,0%,5/,,,,隊友,恢復自己HP最大值的2分之1，效果會因天候改變，「ひざしがつよい（晴天）」時為3分之2，「あめ（下雨）」、「あられ（冰雹）」、「すなあらし（沙塵）」時則是4分之1。,,,草
4,6,このは,樹葉,物理,40,100%,40/,,,,對方單體,,,,草
5,7,しびれごな,麻痹粉,變化,,75%,30/,,,,對方單體,使對手陷入「麻痺」狀態。,,,草
6,8,すいとる,吸取,特殊,20,100%,25/,,,,對方單體,給予對手之傷害值，2分之1轉換為自己的HP。,,,草
7,9,ちからをすいとる,吸取力量,變化,,100%,10/,,,,對方單體,,,,草
8,10,つるのムチ,藤鞭,物理,45,100%,25/,,,,對方單體,普通的攻擊。,,,草
9,11,なやみのタネ,煩惱種子,變化,,100%,10/,,,,對方單體,將對手的特性變成「ふみん」。但對部份特性會失敗。,,,草
10,12,ねむりごな,催眠粉,變化,,75%,15/,,,,對方單體,使對手陷入「睡眠」狀態。,,,草
11,13,ねをはる,紮根,變化,,0%,20/,,,,隊友,每回合結束時可恢復自己HP最大值的16分之1。但此時將無法更換為其他Pokemon，具有特性「ふゆう（浮游）」或「飛」系的Pokemon使用後，將會開始受到「地」屬性的招式擊中。,,,草
