,index,日文名,中文名,類型,威力,命中,PP/上限,先制,模式,要害,攻擊範圍,描述,TM,HM,type
0,2,あなをほる,挖洞,物理,80,100%,10/,,,,對方單體,每一回合鑽入地下，第二回合發動攻擊。冒險中使用：脫離洞窟等場所，回到最後進入的入口處。,,,地
1,3,じしん,地震,物理,100,100%,10/,,,,全場場地,即使對手利用「あなをほる」鑽入地下也能攻擊，而且威力增加為2倍。攻擊命中複數Pokemon時，威力降為0.75倍。,26.0,,地
2,4,じだんだ,跺腳,物理,75,100%,10/,,,,對方單體,,,,地
3,5,じならし,重踏,物理,60,100%,20/,,,,全場場地,有100%機率引發使對手「速度」降低一階級的追加效果。攻擊命中複數Pokemon時，威力降為0.75倍。,78.0,,地
4,6,じわれ,地裂,物理,--,30%,5/,,,,對方單體,一擊就使對手陷入「瀕死」狀態，對手等級高於自己時無法命中，對手等級比自己低越多，命中率就越高，無視其他影響命中率的狀態效果。命中率＝30+攻方等級-守方等級。,,,地
5,7,すなあつめ,集沙,變化,,0%,10/,,,,隊友,,,,地
6,8,すなかけ,潑沙,變化,,100%,15/,,,,對方單體,使對手的命中率降低一階級。,,,地
7,9,すなじごく,流沙地獄,物理,35,85%,15/,,,,對方單體,4到5回合期間，每回合結束時使對手受到HP最大值8分之1的損傷。期間內對手無法逃走。,,,地
8,10,たがやす,耕地,變化,,0%,10/,,,,全場場地,草屬性的「攻擊」、「特攻」提升一階級。,,,地
9,11,だいちのちから,大地之力,特殊,90,100%,10/,,,,對方單體,有10%機率引發使對手陷入「特防」降低一階級的追加效果。,,,地
10,12,だんがいのつるぎ,斷崖之劍,物理,120,85%,10/,,,,自身,,,,地
11,13,どろあそび,玩泥巴,變化,,0%,15/,,,,對方隨機,5回合內、電屬性招式的威力減少為3分之1。,,,地
12,14,どろかけ,擲泥,特殊,20,100%,10/,,,,對方單體,有100%機率引發使對手的「命中率」降低一階級的追加效果。,,,地
13,15,どろばくだん,泥巴炸彈,特殊,65,85%,10/,,,,對方單體,有30%機率引發使對手的「命中率」降低一階級的追加效果。,,,地
14,16,まきびし,撒菱,變化,,0%,20/,,,,對方場地,對手每次派出的Pokemon都會受到傷害。此招式使用次數愈多，造成的傷害就愈大。第一次為HP最大值8分之1，第二次為6分之1，第三次為4分之1。,,,地
15,17,グランドフォース,大地神力,物理,90,100%,10/,,,,自身,普通的攻擊。,,,地
16,18,サウザンアロー,千箭齊發,物理,90,100%,10/,,,,自身,,,,地
17,19,サウザンウェーブ,千波激蕩,物理,90,100%,10/,,,,自身,,,,地
18,20,ドリルライナー,直沖鑽,物理,80,95%,10/,,,,對方單體,較容易命中要害。,,,地
19,21,ホネこんぼう,骨棒,物理,65,85%,20/,,,,對方單體,有10%機率引發使對手產生「畏懼」反應的追加效果。,,,地
20,22,ホネブーメラン,骨頭回力鏢,物理,50,90%,10/,,,,對方單體,連續兩次的攻擊。,,,地
21,23,ボーンラッシュ,骨棒亂打,物理,25,90%,10/,,,,對方單體,連續二到五次的攻擊。37.5%攻擊2或3次、12.5%攻擊4或5次。,,,地
22,24,マグニチュード,震級,物理,--,100%,30/,,,,全場場地,威力會在10、30、50、70、90、110、150間隨機決定。即使對手利用「あなをほる」鑽入地下也能攻擊，且威力增加為2倍。攻擊命中複數Pokemon時，威力降為0.75倍。,,,地
23,25,マッドショット,泥巴射擊,特殊,55,95%,15/,,,,對方單體,有100%機率引發使對手「速度」降低一階級的追加效果。,,,地
24,26,ライジングランドオーバー,地隆嘯天大終結,物理,--,0%,1/,,,,對方單體,,,,地
25,27,１０まんばりき,十萬馬力,物理,95,95%,10/,,,,對方單體,,,,地
