,index,日文名,中文名,類型,威力,命中,PP/上限,先制,模式,要害,攻擊範圍,描述,TM,HM,type
0,2,あられ,冰雹,變化,,0%,10/,,,,對方隨機,使天候在5回合內處於「あられ（冰雹）」狀態，「あられ（冰雹）」狀態時，除冰屬性以外，每回合結束時受到HP最大值16分之1的傷害。,7.0,,冰
1,3,くろいきり,黑霧,變化,,0%,30/,,,,對方隨機,對手和自己的能力變化恢復原狀。,,,冰
2,4,こおりのいぶき,冰息,特殊,60,90%,10/,,,,對方單體,必定命中要害。,79.0,,冰
3,5,こおりのつぶて,冰礫,物理,40,100%,30/,1.0,,,對方單體,發動先制攻擊（雙方使出相同的招式時，以「速度」較高者優先 ）。,,,冰
4,6,こおりのキバ,冰凍牙,物理,65,95%,15/,,,,對方單體,有10%機率引發使對手陷入「冰凍」狀態，有10%機率產生「畏懼」反應的追加效果。,,,冰
5,7,こごえるかぜ,冰凍之風,特殊,55,95%,15/,,,,自身,有100%機率引發使對手「速度」降低一階級的追加效果。攻擊命中複數Pokemon時，威力降為0.75倍。,,,冰
6,8,こごえるせかい,冰封世界,特殊,65,95%,10/,,,,自身,使對手的「速度」降低一階級。,,,冰
7,9,こなゆき,細雪,特殊,40,100%,25/,,,,自身,有10%機率引發使對手陷入「凍傷」狀態的追加效果，攻勢命中複數Pokemon時，威力降為0.75倍。,,,冰
8,10,しろいきり,白霧,變化,,0%,30/,,,,全場場地,5回內不會受到具降低能力效果的招式或追加效果影響。,,,冰
9,11,ぜったいれいど,絕對零度,特殊,--,30%,5/,,,,對方單體,一擊就使對手陷入「瀕死」狀態，對手等級高於自己時無法命中，對手等級比自己低越多，命中率就越高，無視其他影響命中率的狀態效果。命中率＝30+攻方等級-守方等級。,,,冰
10,12,つららおとし,冰柱墜擊,物理,85,90%,10/,,,,對方單體,有30%機率引發使對手產生「畏懼」反應的追加效果。,,,冰
11,13,つららばり,冰錐,物理,25,100%,30/,,,,對方單體,連續二到五次的攻擊。37.5%攻擊2或3次、12.5%攻擊4或5次。,,,冰
12,14,ふぶき,暴風雪,特殊,110,70%,5/,,,,自身,有10%機率引發使對手陷入「冰凍」狀態的追加效果。天候為「あられ（冰雹）」狀態時必定命中。攻擊命中複數Pokemon時，威力降為0.75倍。,14.0,,冰
13,15,ゆきなだれ,雪崩,物理,60,100%,10/,,,,對方單體,在該回合已受到對手傷害時，招式威力增加為2倍。,,,冰
14,16,れいとうパンチ,冰凍拳,物理,75,100%,15/,,,,對方單體,有10%機率引發使對手陷入「冰凍」狀態的追加效果。,,,冰
15,17,れいとうビーム,冰凍光束,特殊,90,100%,10/,,,,對方單體,有10%機率引發使對手陷入「冰凍」狀態的追加效果。,13.0,,冰
16,18,アイスハンマー,冰錘,物理,100,90%,10/,,,,對方單體,,,,冰
17,19,アイスボール,冰球,物理,30,90%,20/,,,,對方單體,5回合連續攻擊對手，落空時結束（攻擊中無法進行指示）。每次攻擊命中對手後，傷害都增加為2倍（最高為480）。使用「まるくなる」後再發動時，威力增加為2倍。,,,冰
18,20,オーロラビーム,極光束,特殊,65,100%,20/,,,,對方單體,有10%機率引發使對手「攻擊」降低一階級的追加效果。,,,冰
19,21,オーロラベール,極光幕,變化,,0%,20/,,,,全場場地,,70.0,,冰
20,22,コールドフレア,極寒冷焰,特殊,140,90%,5/,,,,對方單體,第一回合蓄力，第二回合攻擊的招式，有30%機率引發使對手產生「燒傷」反應的追加效果。,,,冰
21,23,フリーズドライ,冷凍乾燥,特殊,70,100%,20/,,,,對方單體,對「水」系的對手也同樣為「效果絕佳（傷害2倍）」。有10%機率引發使對手陷入「冰凍」狀態的追加效果。,,,冰
22,24,フリーズボルト,冰凍伏特,物理,140,90%,5/,,,,對方單體,一回合準備，次回合攻擊。有10%機率引發使對手陷入「麻痺」狀態的追加效果。,,,冰
23,25,レイジングジオフリーズ,激狂大地萬里冰,物理,--,0%,1/,,,,對方單體,,,,冰
