,index,日文名,中文名,類型,威力,命中,PP/上限,先制,模式,要害,攻擊範圍,描述,TM,HM,type
0,2,あくび,哈欠,變化,,0%,10/,,,,對方單體,下回合結束時，對手陷入「睡眠」狀態。對手在這之前便被換下場時則不會發生效果。,,,普
1,3,あくまのキッス,惡魔之吻,變化,,75%,10/,,,,對方單體,對手陷入「睡眠」狀態。,,,普
2,4,あさのひざし,晨光,變化,,0%,5/,,,,隊友,恢復自己HP最大值的2分之1，效果會因天候改變，「ひざしがつよい（晴天）」時為3分之2，「あめ（下雨）」、「あられ（冰雹）」、「すなあらし（沙塵）」時則是4分之1。,,,普
3,5,あばれる,大鬧一番,物理,120,100%,10/,,,,我方全員,2到3回合連續攻擊（攻擊中無法操作）。效果結束後，自己陷入「混亂」狀態。,,,普
4,6,あまいかおり,甜甜香氣,變化,,100%,20/,,,,自身,使對手的「迴避率」降低兩階級。冒險中使用：在會有野生Pokemon出現的場所使用時，將會立刻遇到野生Pokemon。,,,普
5,7,いあいぎり,居合斬,物理,50,95%,30/,,,,對方單體,普通的攻擊。冒險中使用：可砍掉帶刺的樹木，使該處變得能夠通行。,,,普
6,8,いかり,憤怒,物理,20,100%,20/,,,,對方單體,對手的攻擊每次命中，自己的「攻擊」就提升一階級。,,,普
7,9,いかりのまえば,憤怒門牙,物理,--,90%,10/,,,,對方單體,使對手的HP的減半。,,,普
8,10,いたみわけ,分擔痛楚,變化,,0%,20/,,,,對方單體,將自己的與對手的HP相加後，互相獲得一半。,,,普
9,11,いにしえのうた,古老之歌,特殊,75,100%,10/,,,,自身,有100%的機率使對手陷入「睡眠」狀態。,,,普
10,12,いばる,虛張聲勢,變化,,85%,15/,,,,對方單體,雖然可使對手陷入「混亂」狀態，但也會讓「攻擊」提升兩階級。,87.0,,普
11,13,いびき,打鼾,特殊,50,100%,15/,,,,對方單體,限自己處於「睡眠」狀態時有效。有30%機率引發使對手產生「畏懼」反應的追加效果。即使對手使出「みがわり」，攻擊依然可命中。,,,普
12,14,いやしのすず,治癒鈴聲,變化,,0%,5/,,,,對方全體,含隊伍成員在內，治療我方Pokemon的所有異常狀態。即使我方使出「みがわり」也依然有效。,,,普
13,15,いやなおと,刺耳聲,變化,,85%,40/,,,,對方單體,使對手的「防禦」降低兩階級。即使對手使出「みがわり」。攻擊依然可命中。,,,普
14,16,うたう,唱歌,變化,,55%,15/,,,,對方單體,使對手陷入「睡眠」狀態。即使對手使出「みがわり」。攻勢依然可命中。,,,普
15,17,えんまく,煙幕,變化,,100%,20/,,,,對方單體,使對手的「命中率」降低一階級。,,,普
16,18,おいわい,慶祝,變化,,0%,40/,,,,隊友,向主角恭賀生日。,,,普
17,19,おうふくビンタ,連環巴掌,物理,15,85%,10/,,,,對方單體,連續二到五次的攻擊。37.5%攻擊2或3次、12.5%攻擊4或5次。,,,普
18,20,おさきにどうぞ,您先請,變化,,0%,15/,,,,對方單體,可無視「速度」影響，將對象Pokemon的行動強制移到這個招式之後，限該回合有效，對原本行動順序就是如此，或是已經結束行動的Pokemon使用時則失敗。,,,普
19,21,おたけび,戰吼,變化,,100%,30/,,,,對方單體,使對手的「攻擊」、「特攻」降低一階級。,,,普
20,22,おまじない,幸運咒語,變化,,0%,30/,,,,全場場地,5回合內，對手的攻擊不會命中要害。,,,普
21,23,おんがえし,報恩,物理,--,100%,20/,,,,對方單體,親密度越高威力越大，威力＝親密度×（10÷25 ），威力1~102。,27.0,,普
22,24,かいりき,怪力,物理,80,100%,15/,,,,對方單體,普通的攻擊。冒險中使用：可移開巨大的岩石，使該處變得能夠通行。,,,普
23,25,かぎわける,氣味偵測,變化,,0%,40/,,,,對方單體,攻擊將可忽視對手的迴避率，可使「普」、「格」屬性的攻擊能夠擊中「鬼」系的Pokemon。,,,普
24,26,かくばる,棱角化,變化,,0%,30/,,,,隊友,使自己的「攻擊」提升一階級。,,,普
25,27,かげぶんしん,影子分身,變化,,0%,15/,,,,隊友,使自己的「迴避率」提升一階級。,32.0,,普
26,28,かたきうち,報仇,物理,70,100%,5/,,,,對方單體,上一回合有同伴被打倒時，威力增加為2倍。,,,普
27,29,かたくなる,變硬,變化,,0%,30/,,,,隊友,使自己的「防禦」提升一階級。,,,普
28,30,かなしばり,定身法,變化,,100%,20/,,,,對方單體,使對手最後使用的招式在4回合內都無法再使用。,,,普
29,31,かまいたち,旋風刀,特殊,80,100%,10/,,,,自身,第一回合蓄力，第二回合攻擊的招式，較容易命中要害。攻擊命中複數Pokemon時，威力降為0.75倍。,,,普
30,32,からげんき,硬撐,物理,70,100%,20/,,,,對方單體,自己處於「中毒」、「麻痺」、「燒傷」狀態時，威力則增加為2倍。,42.0,,普
31,33,からみつく,纏繞,物理,10,100%,35/,,,,對方單體,有10%機率引發使對手「速度」降低一階級的追加效果。,,,普
32,34,からをやぶる,破殼,變化,,0%,15/,,,,隊友,自己的「防禦」、「特防」降低一階級，但「攻擊」、「特攻」、「速度」提升兩階級。,,,普
33,35,がまん,忍耐,物理,--,0%,10/,1.0,,,隊友,將使用招式後2回合內（期間內無法操作）受到的傷害以2倍還擊。,,,普
34,36,がむしゃら,蠻幹,物理,--,100%,5/,,,,對方單體,對手HP多於自己時才能命中，對手HP減為與自己相同。,,,普
35,37,きあいだめ,聚氣,變化,,0%,30/,,,,隊友,之後使出的招式將會較容易命中要害。,,,普
36,38,きつけ,清醒,物理,70,100%,10/,,,,對方單體,對陷入「麻痺」狀態的對手，招式威力增加為2倍，但也會治好「麻痺」狀態。,,,普
37,39,きりさく,劈開,物理,70,100%,20/,,,,對方單體,較容易命中要害。,,,普
38,40,きりふだ,王牌,特殊,--,0%,5/,,,,對方單體,攻擊必定命中對手。剩餘的PP愈少，招式威力愈強（最高為200）。8~5PP=40、4PP=50、3PP=60、2PP=80、1PP=200。,,,普
39,41,くすぐる,撓癢,變化,,100%,20/,,,,對方單體,使對手的「攻擊」、「防禦」降低一階級。,,,普
