,index,日文名,中文名,類型,威力,命中,PP/上限,先制,模式,要害,攻擊範圍,描述,TM,HM,type
0,2,いえき,胃液,變化,,100%,10/,,,,對方單體,使對手的特性無效。,,,毒
1,3,じょうか,淨化,變化,,0%,20/,,,,對方單體,,,,毒
2,4,とぐろをまく,盤蜷,變化,,0%,20/,,,,隊友,使自己的「攻擊」、「防禦」提升一階級。,,,毒
3,5,とける,溶化,變化,,0%,20/,,,,隊友,使自己的「防禦」提升兩階級。,,,毒
4,6,どくづき,毒擊,物理,80,100%,20/,,,,對方單體,有30%機率引發使對手陷入「中毒」狀態的追加效果。,84.0,,毒
5,7,どくどく,劇毒,變化,,90%,10/,,,,對方單體,使對手陷入「劇毒」狀態，由減去HP最大值的1/16開始，每回合+1/16HP傷害（交替後重新開始遞增）。「毒」系的Pokemon使用時必定命中對手。,6.0,,毒
6,8,どくどくのキバ,劇毒牙,物理,50,100%,15/,,,,對方單體,有50%機率引發使對手陷入「中毒」狀態的追加效果。,,,毒
7,9,どくのいと,毒絲,變化,,100%,20/,,,,對方單體,,,,毒
8,10,どくのこな,毒粉,變化,,75%,35/,,,,對方單體,使對手陷入「中毒」狀態。,,,毒
9,11,どくばり,毒針,物理,15,100%,35/,,,,對方單體,有30%機率引發使對手陷入「中毒」狀態的追加效果。,,,毒
10,12,どくびし,毒菱,變化,,0%,20/,,,,對方場地,對手派出Pokemon時，使該Pokemon陷入「中毒」狀態（已使用此招式兩次時則是「劇毒」狀態）。對手派出非「飛」系、非「ふゆう」特性的「毒」系Pokemon時，此招式效果消失。對於特性為「ふゆう」或「飛行」系的Pokemon無效。,,,毒
11,13,どくガス,毒瓦斯,變化,,90%,40/,,,,自身,使對手陷入「中毒」狀態。,,,毒
12,14,ようかいえき,溶解液,特殊,40,100%,30/,,,,自身,有10%機率引發使對手「特防」降低一階級的追加效果。攻勢命中複數Pokemon時，威力降為0.75倍。,,,毒
13,15,アシッドボム,酸液炸彈,特殊,40,100%,20/,,,,對方單體,有100%機率引發使對手「特防」降低兩階級的追加效果。,,,毒
14,16,アシッドポイズンデリート,強酸劇毒滅絕雨,物理,--,0%,1/,,,,對方單體,攻擊必定命中對手，即使對方使用「まもる」，攻擊也能成功，但威力降為0.25倍。,,,毒
15,17,クリアスモッグ,清除之煙,特殊,50,0%,15/,,,,對方單體,可引發使對手的能力變化恢復原狀的追加效果。,,,毒
16,18,クロスポイズン,十字毒刃,物理,70,100%,20/,,,,對方單體,較容易命中要害。有10%機率引發使對手陷入「中毒」狀態的追加效果。,,,毒
17,19,ゲップ,打嗝,特殊,120,90%,10/,,,,對方單體,普通的攻擊。未食用「果實」前將無法使用這個招式。,,,毒
18,20,スモッグ,濁霧,特殊,30,70%,20/,,,,對方單體,有40%機率引發使對手陷入「中毒」狀態的追加效果。,,,毒
19,21,ダストシュート,垃圾射擊,物理,120,80%,5/,,,,對方單體,有30%機率引發使對手陷入「中毒」狀態的追加效果。,,,毒
20,22,トーチカ,碉堡,變化,,0%,10/,4.0,,,隊友,,,,毒
21,23,ヘドロこうげき,污泥攻擊,特殊,65,100%,20/,,,,對方單體,有30%機率引發使對手陷入「中毒」狀態的追加效果。,,,毒
22,24,ヘドロばくだん,污泥炸彈,特殊,90,100%,10/,,,,對方單體,有30%機率引發使對手陷入「中毒」狀態的追加效果。,36.0,,毒
23,25,ヘドロウェーブ,污泥波,特殊,95,100%,10/,,,,全場場地,有10%機率引發使對手陷入「中毒」狀態的追加效果。攻擊命中複數Pokemon時，威力降為0.75倍。,34.0,,毒
24,26,ベノムショック,毒液衝擊,特殊,65,100%,10/,,,,對方單體,對陷入「中毒」、「劇毒」狀態的對手，招式威力增加為2倍。,9.0,,毒
25,27,ベノムトラップ,毒液陷阱,變化,,100%,20/,,,,自身,使「中毒」、「劇毒」狀態的對手之「攻撃」、「特攻」、「速度」降低一階級。,,,毒
26,28,ポイズンテール,毒尾,物理,50,100%,25/,,,,對方單體,有30%機率引發使對手陷入「中毒」狀態的追加效果，較容易命中要害。,,,毒
