,index,日文名,中文名,類型,威力,命中,PP/上限,先制,模式,要害,攻擊範圍,描述,TM,HM,type
0,2,いじげんホール,異次元洞,特殊,80,0%,5/,,,,對方單體,每一回合躲藏，第二回合發動攻擊。攻擊必定命中對手。即使對手使用「まもる」、「みきり」，攻擊依然可命中。,,,超
1,3,いやしのねがい,治癒之願,變化,,0%,10/,,,,隊友,雖然自己會陷入「頻死」狀態，但接著出場的Pokemon之HP會全滿，異常狀態也會解除。,,,超
2,4,いやしのはどう,治癒波動,變化,,0%,10/,,,,對方單體,使對象恢復最大值2分之1的HP。,,,超
3,5,かいふくふうじ,回復封鎖,變化,,100%,15/,,,,自身,使對手於5回合內處於無法使用招式等進行治療的狀態。,,,超
4,6,こうそくいどう,高速移動,變化,,0%,30/,,,,隊友,使自己的「速度」提升兩階級。,,,超
5,7,さいはい,號令,變化,,0%,15/,,,,對方單體,,,,超
6,8,さいみんじゅつ,催眠術,變化,,60%,20/,,,,對方單體,對手陷入「睡眠」狀態。,,,超
7,9,しねんのずつき,意念頭錘,物理,80,90%,15/,,,,對方單體,有20%機率引發使對手產生「畏懼」反應的追加效果。,,,超
8,10,じゅうりょく,重力,變化,,0%,5/,,,,對方隨機,5回合內，戰鬥中所有Pokemon的「命中率」提升六分之十。狀態為「でんじふゆう」或「飛」系的Pokemon，將會被「地」屬性的招式擊中。「そらをとぶ」、「でんじふゆう」、「テレキネシス」、「とびげり」、「とびはねる」、「とびひざげり」、「はねる」、「フリーフォール」將無法使用（已在空中的Pokemon也會強制降落）。,,,超
9,11,じんつうりき,神通力,特殊,80,100%,20/,,,,對方單體,有10%機率引發使對手產生「畏懼」反應的追加效果。,,,超
10,12,なりきり,扮演,變化,,0%,10/,,,,對方單體,複製對手的特性。但對部份特性會失敗。,,,超
11,13,ねむる,睡覺,變化,,0%,10/,,,,隊友,HP恢復到最大值，之後2回合陷入「睡眠」狀態。,44.0,,超
12,14,ねんりき,念力,特殊,50,100%,25/,,,,對方單體,有10%機率引發使對手陷入「混亂」狀態的追加效果。,,,超
13,15,ひかりのかべ,光牆,變化,,0%,30/,,,,全場場地,5回合內，對手的特殊攻擊之傷害減半，即使使用此招之Pokemon被換下，效果仍會正常持續。「Double Battle（ダブルバトル）」、「Triple Battle（トリプルバトル）」中，效果將會減弱至3分之1。,16.0,,超
14,16,ふういん,封印,變化,,0%,10/,,,,隊友,使對手無法使出自己學會的招式。,,,超
15,17,みかづきのまい,新月舞,變化,,0%,10/,,,,隊友,自已立即陷入「瀕死」狀態，替換Pokemon HP、PP及異常狀態完全回復。,,,超
16,18,みらいよち,預知未來,特殊,120,100%,10/,,,,對方單體,在2回合後攻擊對手，無論自己或對象替換依然有效。即使對手使用「みがわり」、「まもる」、「みきり」、「かいでんぱ」、「マジカルフレイム」、「エレキフィールド」，攻擊依然可命中。,,,超
17,19,めいそう,冥想,變化,,0%,20/,,,,隊友,使自己的「特攻」、「特防」提升一階級。,4.0,,超
18,20,ゆめくい,食夢,特殊,100,100%,15/,,,,對方單體,限對手處於「睡眠」狀態時有效（非「睡眠」狀態時則招式失敗 ）。給予對手之傷害值，有2分之1會轉換為自己的HP。,85.0,,超
19,21,アシストパワー,輔助力量,特殊,20,100%,10/,,,,對方單體,自身能力每提高一階級，威力隨之增加20（最高860）。,,,超
20,22,オリジンズスーパーノヴァ,起源超新星大爆炸,特殊,185,0%,1/,,,,對方單體,,,,超
21,23,ガードシェア,防守平分,變化,,0%,10/,,,,對方單體,將自己的與對手的「防禦」、「特防」相加後，互相獲得一半。,,,超
22,24,ガードスワップ,防守互換,變化,,0%,10/,,,,對方單體,使對手與自己的「防禦」、「特防」之能力變化狀況互換。,,,超
23,25,コスモパワー,宇宙力量,變化,,0%,20/,,,,隊友,使自己的「防禦」、「特防」提升一階級。,,,超
24,26,サイケこうせん,幻象光線,特殊,65,100%,20/,,,,對方單體,有10%機率引發使對手陷入「混亂」狀態的追加效果。,,,超
25,27,サイコウェーブ,精神波,特殊,--,100%,15/,,,,對方單體,使對手受到自己等級×0.5到1.5（隨機決定 ）之數值的傷害。,,,超
26,28,サイコカッター,精神利刃,物理,70,100%,20/,,,,對方單體,較容易命中要害。,,,超
27,29,サイコキネシス,精神強念,特殊,90,100%,10/,,,,對方單體,有10%機率引發使對手「特防」降低一階級的追加效果。,29.0,,超
28,30,サイコシフト,精神轉移,變化,,100%,10/,,,,對方單體,將自己的異常狀態「中毒」、「劇毒」、「睡眠」、「麻痺」、「燒傷」轉移給對手，自己恢復正常。,,,超
29,31,サイコショック,精神衝擊,特殊,80,100%,10/,,,,對方單體,特殊攻擊，物理傷害。傷害根據自己的「特攻」與對手的「防禦」決定。,3.0,,超
30,32,サイコファング,精神之牙,物理,85,100%,10/,,,,對方單體,,,,超
31,33,サイコフィールド,精神場地,變化,,0%,10/,,,,對方隨機,,,,超
32,34,サイコブレイク,精神擊破,特殊,100,100%,10/,,,,對方單體,特殊攻擊，物理傷害。傷害根據自己的「特攻」與對手的「防禦」決定。,,,超
33,35,サイコブースト,精神突進,特殊,140,90%,5/,,,,對方單體,攻擊命中後自已的「特攻」降低兩階級。,,,超
34,36,サイドチェンジ,交換場地,變化,,0%,15/,2.0,,,隊友,將自己與同伴調換位置。「Triple Battle（トリプルバトル）」中自己位於中央時則會失敗（只有2側能互換）。,,,超
35,37,シンクロノイズ,同步干擾,特殊,120,100%,10/,,,,全場場地,使屬性與自己相同的Pokemon全部受到傷害。攻擊命中複數Pokemon時，威力降為0.75倍。,,,超
36,38,スキルスワップ,特性互換,變化,,0%,10/,,,,對方單體,與對手互換特性。但對部份特性會失敗。,,,超
37,39,スピードスワップ,速度互換,變化,,0%,10/,,,,對方單體,,,,超
38,40,スプーンまげ,折彎湯匙,變化,,80%,15/,,,,對方單體,使對手的「命中率」降低一階級。,,,超
39,41,テレキネシス,意念移物,變化,,0%,15/,,,,對方單體,使對手在3回合內處於「ふゆう（浮游）」狀態。期間內，對象Pokemon將不會受到地屬性招式擊中。但除「じわれ」、「ぜったいれいど」、「ハサミギロチン」、「つのドリル」以外的招式則必定命中。,,,超
40,42,テレポート,瞬間移動,變化,,0%,20/,,,,隊友,結束與野生Pokemon的戰鬥。冒險中使用：能夠移動到最後經過的Pokemon Centre（在洞窟等場所無法使用）。,,,超
41,43,トリック,戲法,變化,,100%,10/,,,,對方單體,將對手攜帶的道具與自己的道具交換。,,,超
42,44,トリックルーム,戲法空間,變化,,0%,5/,,,,對方隨機,在5回合內，改由「速度」較低者先發動攻擊。不過，先制攻擊招式仍可先出招。在有效期間內再次使用此招式可使效果消失。,92.0,,超
43,45,ドわすれ,瞬間失憶,變化,,0%,20/,,,,隊友,使自己的「特防」提升兩階級。,,,超
44,46,ハートスタンプ,愛心印章,物理,60,100%,25/,,,,對方單體,有30%機率引發使對手產生「畏懼」反應的追加效果。,,,超
45,47,ハートスワップ,心靈互換,變化,,0%,10/,,,,對方單體,自己與對手交換所有能力的能力等級。,,,超
46,48,バリアー,屏障,變化,,0%,20/,,,,隊友,使自己的「防禦」提升兩階級。,,,超
47,49,パワーシェア,力量平分,變化,,0%,10/,,,,對方單體,將自己與對手的「攻擊」、「特攻」相加後，互相擁有一半。,,,超
48,50,パワースワップ,力量互換,變化,,0%,10/,,,,對方單體,使對手與自己的「攻擊」、「特攻」之能力變化狀況互換。,,,超
49,51,パワートリック,力量戲法,變化,,0%,10/,,,,隊友,將「攻擊」與「防禦」之數值互換（能力變化狀況不會互換）。,,,超
50,52,プリズムレーザー,棱鏡鐳射,特殊,160,100%,10/,,,,對方單體,,,,超
51,53,マキシマムサイブレイカー,至高精神破壞波,物理,--,0%,1/,,,,對方單體,,,,超
52,54,マジックコート,魔法反射,變化,,0%,15/,4.0,,,隊友,可反彈對手使用的變化招式。,,,超
53,55,マジックルーム,魔法空間,變化,,0%,10/,,,,對方隨機,在5回合內使Pokemon所攜帶的道具不會發揮效果。有效期間內無法使用「なげつける」。在有效期間內再次使用此招式可使效果消失。,,,超
54,56,ミストボール,薄霧球,特殊,70,100%,5/,,,,對方單體,有50%機率引發使對手「特攻」降低一階級的追加效果。,,,超
55,57,ミラクルアイ,奇跡之眼,變化,,0%,40/,,,,對方單體,攻擊後可忽視對手的迴避率。可使「超」系Pokemon的攻擊能夠擊中「惡」系的Pokemon。,,,超
56,58,ミラーコート,鏡面反射,特殊,--,100%,20/,,,,己方場地,將對手的特殊攻擊所造成的傷害，兩倍反彈至對手。必定為後攻。,,,超
57,59,ヨガのポーズ,瑜伽姿勢,變化,,0%,40/,,,,隊友,使自己的「攻擊」提升一階級。,,,超
58,60,ラスターパージ,潔淨光芒,特殊,70,100%,5/,,,,對方單體,有50%機率引發使對手「特防」降低一階級的追加效果。,,,超
59,61,リフレクター,反射壁,變化,,0%,20/,,,,全場場地,5回合內，對手的物理攻擊之傷害減半。即使使用此招之Pokemon被換下，效果仍會正常持續。「Double Battle（ダブルバトル）」、「Triple Battle（トリプルバトル）」中，效果將會減弱。,33.0,,超
60,62,ワンダールーム,奇妙空間,變化,,0%,10/,,,,對方隨機,在5回合內，所有Pokemon的「防禦」與「特防」值互換。在有效期間內再次使用此招式可使效果消失。,,,超
