,index,日文名,中文名,類型,威力,命中,PP/上限,先制,模式,要害,攻擊範圍,描述,TM,HM,type
0,2,いわおとし,落石,物理,50,90%,15/,,,,對方單體,普通的攻擊。,,,岩
1,3,いわなだれ,岩崩,物理,75,90%,10/,,,,自身,有30%的機率引發使對手產生「畏懼」反應的追加效果。攻擊命中複數Pokemon時，威力降為0.75倍。,80.0,,岩
2,4,うちおとす,擊落,物理,50,100%,15/,,,,對方單體,引發使「地」屬性攻擊可命中飛行系或具備「ふゆう」特性的Pokemon之追加效果。即使對手利用「そらをとぶ」或「とびはねる」等招式處於浮空狀態，依然可進行攻擊。,23.0,,岩
3,5,がんせきふうじ,岩石封鎖,物理,60,95%,15/,,,,對方單體,有100%機率引發使對手「速度」降低一階級的追加效果。,39.0,,岩
4,6,がんせきほう,岩石炮,物理,150,90%,5/,,,,對方單體,使用後的下一回合將無法行動。,,,岩
5,7,げんしのちから,原始之力,特殊,60,100%,5/,,,,對方單體,有10%機率引發自己「攻擊」、「防禦」、「特攻」、「特防」、「速度」提升一階級的追加效果。,,,岩
6,8,ころがる,滾動,物理,30,90%,20/,,,,對方單體,5回合連續攻擊對手，落空時結束（攻擊中無法進行指示 ）。每次攻擊命中對手後，傷害都增加為2倍（最高為480 ），使用「まるくなる」後再發動時，威力增加為2倍。,,,岩
7,9,すなあらし,沙暴,變化,,0%,10/,,,,對方隨機,使天候在5回內處於「すなあらし（沙塵）」狀態。「すなあらし（沙塵）」狀態時，非「岩」、「鋼」、「地」系的Pokemon，每回合結束時會受到HP最大值16分之1的傷害。此外、「岩」系的Pokemon「特攻」增加為1.5倍。,37.0,,岩
8,10,もろはのずつき,雙刃頭錘,物理,150,80%,5/,,,,對方單體,自己也會受到給予對手傷害值2分之1的損傷。,,,岩
9,11,アクセルロック,沖岩,物理,40,100%,20/,1.0,,,對方單體,發動先制攻擊（雙方使出相同的招式時，以「速度」較高者優先 ）。,,,岩
10,12,ステルスロック,隱形岩,變化,,0%,20/,,,,對方場地,對手每次更換Pokemon時都會受到HP最大值16分之1損傷。此效果造成的傷害會受到屬性適性影響。,,,岩
11,13,ストーンエッジ,尖石攻擊,物理,100,80%,5/,,,,對方單體,較容易命中要害。,71.0,,岩
12,14,ダイヤストーム,鑽石風暴,物理,100,95%,5/,,,,自身,有50%機率引發自身「防禦」提升一階級的追加效果。,,,岩
13,15,パワージェム,力量寶石,特殊,80,100%,20/,,,,對方單體,普通的攻擊。,,,岩
14,16,ロックカット,岩石打磨,變化,,0%,20/,,,,隊友,使自己的「速度」提升兩階級。,69.0,,岩
15,17,ロックブラスト,岩石爆擊,物理,25,90%,10/,,,,對方單體,連續二到五次的攻擊。37.5%攻擊2或3次、12.5%攻擊4或5次。,,,岩
16,18,ワイドガード,廣域防守,變化,,0%,10/,3.0,,,全場場地,使出招式的該回合，可防禦對手朝複數目標發動之攻擊。,,,岩
17,19,ワールズエンドフォール,毀天滅地巨岩墜,物理,--,0%,1/,,,,對方單體,,,,岩
