,index,日文名,中文名,類型,威力,命中,PP/上限,先制,模式,要害,攻擊範圍,描述,TM,HM,type
0,2,きんぞくおん,金屬音,變化,,85%,40/,,,,對方單體,使對手的「特防」降低兩階級。即使對手發出「みがわり」，攻勢依然可命中。,,,鋼
1,3,ちょうぜつらせんれんげき,超絕螺旋連擊,物理,--,0%,1/,,,,對方單體,,,,鋼
2,4,てっぺき,鐵壁,變化,,0%,15/,,,,隊友,使自己的「防禦」提升兩階級。,,,鋼
3,5,はがねのつばさ,鋼翼,物理,70,90%,25/,,,,對方單體,有10%機率引發使自己「防禦」提升一階級的追加效果。,51.0,,鋼
4,6,はめつのねがい,破滅之願,特殊,140,100%,5/,,,,對方單體,使用後兩回合完結時，對手受到傷害。無論自己或對手替換依然有效。,,,鋼
5,7,アイアンテール,鐵尾,物理,100,75%,15/,,,,對方單體,有30%機率引發使對手「防禦」降低一階級的追加效果。,,,鋼
6,8,アイアンヘッド,鐵頭,物理,80,100%,15/,,,,對方單體,有30%機率引發使對手產生「畏懼」反應的追加效果。,,,鋼
7,9,アシストギア,輔助齒輪,變化,,0%,20/,,,,對方全體,,,,鋼
8,10,アンカーショット,擲錨,物理,80,100%,20/,,,,對方單體,,,,鋼
9,11,キングシールド,王者盾牌,變化,,0%,10/,4.0,,,隊友,該回合防禦對手的攻擊招式，而且對手以直接攻擊招式命中時，「攻擊」將會降低兩階級。,,,鋼
10,12,ギアソーサー,齒輪飛盤,物理,50,85%,15/,,,,對方單體,連續兩次的攻擊。,,,鋼
11,13,ギアチェンジ,換擋,變化,,0%,10/,,,,隊友,使自己的「攻擊」提升一階級、「速度」提升兩階級。,,,鋼
12,14,コメットパンチ,彗星拳,物理,90,90%,10/,,,,對方單體,有20%機率引發使自己「攻擊」提升一階級的追加效果。,,,鋼
13,15,ジャイロボール,陀螺球,物理,--,100%,5/,,,,對方單體,自己的「速度」低於對手愈多，則威力愈大（最高為150 ）。威力=對手目前速度×25÷自己目前速度（捨棄小數點）。威力1~150。,74.0,,鋼
14,16,スマートホーン,修長之角,物理,70,0%,10/,,,,對方單體,,67.0,,鋼
15,17,バレットパンチ,子彈拳,物理,40,100%,30/,1.0,,,對方單體,發動先制攻擊（雙方使出相同的招式時，以「速度」較高者優先）。,,,鋼
16,18,ヘビーボンバー,重磅衝撞,物理,--,100%,10/,,,,對方單體,自身重量高於對象越多，威力越大；自身重量/對象重量>=5 120威力；自身重量/對象重量>=4 100威力；自身重量/對象重量>=3 80威力；自身重量/對象重量>=2 60威力；自身重量/對象重量<2 40威力,,,鋼
17,19,ボディパージ,身體輕量化,變化,,0%,15/,,,,隊友,使自己的「速度」提升兩階級，重量-100kg。,,,鋼
18,20,マグネットボム,磁鐵炸彈,物理,60,0%,20/,,,,對方單體,攻擊必定命中對手。,,,鋼
19,21,ミラーショット,鏡光射擊,特殊,65,85%,10/,,,,對方單體,有30%機率引發使對手「命中率」降低一階級的追加效果。,,,鋼
20,22,メタルクロー,金屬爪,物理,50,95%,35/,,,,對方單體,有10%機率引發使自己「攻擊」提升一階級的追加效果。,,,鋼
21,23,メタルバースト,金屬爆炸,物理,--,100%,10/,,,,己方場地,將自己在該回合中最後受到的傷害，以1.5倍還擊。,,,鋼
22,24,メテオドライブ,流星閃沖,物理,100,100%,5/,,,,對方單體,,,,鋼
23,25,ラスターカノン,加農光炮,特殊,80,100%,10/,,,,對方單體,有10%機率引發使對手「特防」降低一階級的追加效果。,91.0,,鋼
