,index,日文名,中文名,類型,威力,命中,PP/上限,先制,模式,要害,攻擊範圍,描述,TM,HM,type
0,2,かいでんぱ,怪異電波,變化,,100%,15/,,,,對方單體,使對手的「特攻」降低兩階級。,,,電
1,3,かみなり,打雷,特殊,110,70%,10/,,,,對方單體,有30%機率引發使對手陷入「麻痺」狀態的追加效果。天候為「あめ（下雨）」狀態時必定命中、「ひざしがつよい（晴天）」狀態時的命中率則降為50，即使對手利用「そらをとぶ」或「とびはねる」等招式處於浮空狀態，依然可進行攻擊。,25.0,,電
2,4,かみなりのキバ,雷電牙,物理,65,95%,15/,,,,對方單體,有10%機率引發使對手陷入「麻痺」狀態。或是產生畏懼反應的追加效果。,,,電
3,5,かみなりパンチ,雷電拳,物理,75,100%,15/,,,,對方單體,有10%機率引發使對手陷入「麻痺」狀態的追加效果。,,,電
4,6,じばそうさ,磁場操控,變化,,0%,20/,,,,對方全體,使特性為「プラス」、「マイナス」的同伴之「防禦」、「特防」提升一階級。,,,電
5,7,じゅうでん,充電,變化,,0%,20/,,,,隊友,下次使出的電屬性招式威力增加為2倍，自己的「特防」會提升一階級。,,,電
6,8,そうでん,輸電,變化,,0%,20/,,,,對方單體,使出招式的該回合，對手的招式將變成電屬性。,,,電
7,9,でんきショック,電擊,特殊,40,100%,30/,,,,對方單體,有10%機率引發使對手陷入「麻痺」狀態的追加效果。,,,電
8,10,でんげきは,電擊波,特殊,60,0%,20/,,,,對方單體,攻擊必定命中對手。,,,電
9,11,でんじは,電磁波,變化,,90%,20/,,,,對方單體,使對手陷入「麻痺」狀態，對「地」系的Pokemon無效。,73.0,,電
10,12,でんじふゆう,電磁飄浮,變化,,0%,10/,,,,隊友,5回合內不會受到地屬性的招式擊中。,,,電
11,13,でんじほう,電磁炮,特殊,120,50%,5/,,,,對方單體,有100%機率引發使對手陷入「麻痺」狀態的追加效果。,,,電
12,14,ひっさつのピカチュート,皮卡皮卡必殺擊,物理,210,0%,1/,,,,對方單體,,,,電
13,15,びりびりちくちく,麻麻刺刺,物理,80,100%,10/,,,,對方單體,,,,電
14,16,ほうでん,放電,特殊,80,100%,15/,,,,全場場地,有30%機率引發使對手陷入「麻痺」狀態的追加效果。攻擊命中複數Pokemon時，威力降為0.75倍。,,,電
15,17,ほっぺすりすり,蹭蹭臉頰,物理,20,100%,20/,,,,對方單體,有100%機率引發使對手陷入「麻痺」狀態的追加效果。,,,電
16,18,らいげき,雷擊,物理,130,85%,5/,,,,對方單體,有20%機率引發使對手陷入「麻痺」狀態的追加效果。,,,電
17,19,エレキネット,電網,特殊,55,95%,15/,,,,自身,使對手的「速度」降低一階級。,,,電
18,20,エレキフィールド,電氣場地,變化,,0%,10/,,,,對方隨機,使腳下出現持續5回合的電氣場，在地面上的Pokemon，電屬性招式威力將增加為1.5倍，且不會陷入「睡眠」狀態。,,,電
19,21,エレキボール,電球,特殊,--,100%,10/,,,,對方單體,自身比對象速度越高，威力越大；對象速度/自身速度>0.5 60威力；0.5>=對象速度/自身速度>0.33 80威力；0.33>=對象速度/自身速度>0.25 120威力；0.25>=對象速度/自身速度>0 150威力,,,電
20,22,クロスサンダー,交錯閃電,物理,100,100%,5/,,,,對方單體,本回合內有其他Pokemon使用過「クロスフレイム」，威力增加為2倍。,,,電
21,23,スパーキングギガボルト,終極伏特狂雷閃,物理,--,0%,1/,,,,對方單體,,,,電
22,24,スパーク,電光,物理,65,100%,20/,,,,對方單體,有30%機率引發使對手陷入「麻痺」狀態的追加效果。,,,電
23,25,チャージビーム,充電光束,特殊,50,90%,10/,,,,對方單體,有70%機率引發使自己「特攻」提升一階級的追加效果。,57.0,,電
24,26,パラボラチャージ,拋物面充電,特殊,65,100%,20/,,,,全場場地,給予對手之傷害值。有2分之1會轉換為自己的HP。攻擊命中複數Pokemon時，威力降為0.75倍。,,,電
25,27,プラズマシャワー,等離子浴,變化,,0%,25/,1.0,,,對方隨機,該回合中，「普通」屬性的招式將變成「電」屬性。,,,電
26,28,ボルテッカー,伏特攻擊,物理,120,100%,15/,,,,對方單體,自己也會受到給予對手傷害值3分之1的損傷。有10%機率引發使對手「麻痺」狀態的追加效果。,,,電
27,29,ボルトチェンジ,伏特替換,特殊,70,100%,20/,,,,對方單體,攻擊後換上侯補的其他Pokemon。,72.0,,電
28,30,ライトニングサーフライド,駕雷馭電戲衝浪,特殊,175,0%,1/,,,,對方單體,,,,電
29,31,ワイルドボルト,瘋狂伏特,物理,90,100%,15/,,,,對方單體,自己也會受到給予對手傷害值4分之1的損傷。,93.0,,電
30,32,１０まんボルト,十萬伏特,特殊,90,100%,15/,,,,對方單體,有10%機率引發使對手陷入「麻痺」狀態的追加效果。,24.0,,電
31,33,１０００まんボルト,千萬伏特,特殊,195,0%,1/,,,,對方單體,攻擊必定命中對手，較容易命中要害。,,,電
