,index,日文名,中文名,類型,威力,命中,PP/上限,先制,模式,要害,攻擊範圍,描述,TM,HM,type
0,2,あまごい,求雨,變化,,0%,5/,,,,對方隨機,使天候在5回合內處於「あめ（下雨）」狀態，「あめ（下雨）」狀態時，水屬性招式的威力增加為1.5倍，火屬性招式的威力減為0.5倍。,18.0,,水
1,3,あわ,泡沫,特殊,40,100%,30/,,,,自身,有10%機率引發使對手「速度」降低一階級的追加效果。攻擊命中複數Pokemon時，威力降為0.75倍。,,,水
2,4,うずしお,潮旋,特殊,35,85%,15/,,,,對方單體,4到5回合間，每回合結束時使對手受到hp最大值8分之1的損傷。期間對手無法逃走。即使對手使用「ダイビング」潛入水中。攻勢仍可命中，且威力增加為2倍。,,,水
3,5,うたかたのアリア,泡影的詠歎調,特殊,90,100%,10/,,,,全場場地,,,,水
4,6,からではさむ,貝殼夾擊,物理,35,85%,15/,,,,對方單體,4到5回合間，每回合結束時使對手受到HP最大值8分之1的傷害。期間內對手無法逃走。,,,水
5,7,からにこもる,縮入殼中,變化,,0%,40/,,,,隊友,使自己的「防禦」提升一階級。,,,水
6,8,こんげんのはどう,根源波動,特殊,110,85%,10/,,,,自身,,,,水
7,9,しおふき,噴水,特殊,150,100%,5/,,,,自身,自己HP減少時，招式威力也會隨之下降。威力=150×餘下HP÷最大HP，威力1~150。攻擊命中複數Pokemon時，威力降為0.75倍。,,,水
8,10,しおみず,鹽水,特殊,65,100%,10/,,,,對方單體,對手HP低於HP最大值的一半時，威力增加為2倍。,,,水
9,11,たきのぼり,攀瀑,物理,80,100%,15/,,,,對方單體,有20%機率引發使對手產生「畏懼」反應的追加效果。冒險中使用：能夠逆流登上瀑布。,98.0,,水
10,12,だくりゅう,濁流,特殊,90,85%,10/,,,,自身,有30%機會引發使對手「命中率」降低一階級的追加效果，攻擊命中複數Pokemon時，威力降為0.75倍。,,,水
11,13,なみのり,衝浪,特殊,90,100%,15/,,,,全場場地,即使對手使用「ダイビング」潛入水中，攻擊仍可命中。而且威力增加2倍。攻擊命中複數Pokemon時，威力降為0.75倍。冒險中使用：能夠在水上移動。,94.0,,水
12,14,ねっとう,熱水,特殊,80,100%,15/,,,,對方單體,有30%機率引發使對手陷入「燒傷」狀態的追加效果。在自己處於「冰凍」狀態時也可以使用，可將自己的冰融化。,55.0,,水
13,15,みずあそび,玩水,變化,,0%,15/,,,,對方隨機,5回合內，「火」屬性招式的威力減少為2分之1。,,,水
14,16,みずしゅりけん,飛水手裡劍,特殊,15,100%,20/,1.0,,,對方單體,發動先制攻擊（雙方使出相同的招式時，以「速度」較高者優先）。連續二到五次的攻擊。37.5%攻擊2或3次、12.5%攻擊4或5次。,,,水
15,17,みずでっぽう,水槍,特殊,40,100%,25/,,,,對方單體,普通的攻擊。,,,水
16,18,みずのちかい,水之誓約,特殊,80,100%,10/,,,,對方單體,配合「ほのおのちかい」使用時，威力變成150，天空將出現彩虹。4回合內，我方Pokemon的招式較容易引發追加效果。配合「くさのちかい」使用時，威力變成150，而且周圍變成濕地。4回合內，對手位於濕地上的Pokemon之「速度」會降低。,,,水
17,19,みずのはどう,水之波動,特殊,60,100%,20/,,,,對方單體,有20%機率引發使對手陷入「混亂」狀態的追加效果。,,,水
18,20,みずびたし,浸水,變化,,100%,20/,,,,對方單體,使對手變成「水」屬性。,,,水
19,21,わだつみのシンフォニア,海神莊嚴交響樂,特殊,195,0%,1/,,,,對方單體,,,,水
20,22,アクアジェット,水流噴射,物理,40,100%,20/,1.0,,,對方單體,發動先制攻擊（雙方使出相同的招式時，以「速度」較高者優先）。,,,水
21,23,アクアテール,水流尾,物理,90,90%,10/,,,,對方單體,普通的攻擊,,,水
22,24,アクアブレイク,水流裂破,物理,85,100%,10/,,,,對方單體,,,,水
23,25,アクアリング,水流環,變化,,0%,20/,,,,隊友,每回合結束時，恢復自身HP最大值的16分之1。,,,水
24,26,オクタンほう,章魚桶炮,特殊,65,85%,10/,,,,對方單體,有50%機率引發使對手「命中率」降低一階級的追加效果。,,,水
25,27,クラブハンマー,蟹鉗錘,物理,100,90%,10/,,,,對方單體,較容易命中要害。,,,水
26,28,シェルブレード,貝殼刃,物理,75,95%,10/,,,,對方單體,有50%機率引發使對手「防禦」降低一階級的追加效果。,,,水
27,29,スチームバースト,蒸汽爆炸,特殊,110,95%,5/,,,,對方單體,有30%機率引發使對手陷入「燒傷」狀態的追加效果。,,,水
28,30,スーパーアクアトルネード,超級水流大漩渦,物理,--,0%,1/,,,,對方單體,,,,水
29,31,ダイビング,潛水,物理,80,100%,10/,,,,對方單體,第一回合潛入水中，第二回合攻擊。,,,水
30,32,ハイドロカノン,加農水炮,特殊,150,90%,5/,,,,對方單體,使用後，下一回合將無法行動。,,,水
31,33,ハイドロポンプ,水炮,特殊,110,80%,5/,,,,對方單體,普通的攻擊。,,,水
32,34,バブルこうせん,泡沫光線,特殊,65,100%,20/,,,,對方單體,有10%機率引發使對手陷入「速度」狀態降低一階級的追加效果。,,,水
