atk,df,hp,spAtk,spDf,spd,中文名稱,全國編號,初始親密,夢特1,孵化步數,屬性,性別比例,捕捉機率,日文名稱,特性1,特性2,總經驗值,英文名稱,蛋組,身高,進化0,進化1,阿羅拉,體重,屬性1,屬性2
49.0,49.0,45.0,65.0,65.0,45.0,妙蛙種子,1.0,70,葉綠素,5120.0,草 / 毒,♂ 7 : ♀ 1,45.0,フシギダネ,茂盛,,1059860.0,Bulbasaur,怪獸類 / 植物類,"0.7m / 2'04""",01妙蛙種子→02妙蛙草進化條件：Level 16,02妙蛙草→03妙蛙花進化條件：Level 32,---,6.9kg / 15.2lbs,草 , 毒
62.0,63.0,60.0,80.0,80.0,60.0,妙蛙草,2.0,70,葉綠素,5120.0,草 / 毒,♂ 7 : ♀ 1,45.0,フシギソウ,茂盛,,1059860.0,Ivysaur,怪獸類 / 植物類,"1m / 3'03""",01妙蛙種子→02妙蛙草進化條件：Level 16,02妙蛙草→03妙蛙花進化條件：Level 32,---,13kg / 28.7lbs,草 , 毒
82.0,83.0,80.0,100.0,100.0,80.0,妙蛙花,3.0,70,葉綠素,5120.0,草 / 毒,♂ 7 : ♀ 1,45.0,フシギバナ,茂盛,,1059860.0,Venusaur,怪獸類 / 植物類,"2m / 6'07""",01妙蛙種子→02妙蛙草進化條件：Level 16,02妙蛙草→03妙蛙花進化條件：Level 32,---,100kg / 220.5lbs,草 , 毒
52.0,43.0,39.0,60.0,50.0,65.0,小火龍,4.0,70,太陽之力,5120.0,火,♂ 7 : ♀ 1,45.0,ヒトカゲ,猛火,,1059860.0,Charmander,怪獸類 / 龍類,"0.6m / 2'00""",04小火龍→05火恐龍進化條件：Level 16,05火恐龍→06噴火龍進化條件：Level 36,---,8.5kg / 18.7lbs,火,
64.0,58.0,58.0,80.0,65.0,80.0,火恐龍,5.0,70,太陽之力,5120.0,火,♂ 7 : ♀ 1,45.0,リザード,猛火,,1059860.0,Charmeleon,怪獸類 / 龍類,"1.1m / 3'07""",04小火龍→05火恐龍進化條件：Level 16,05火恐龍→06噴火龍進化條件：Level 36,---,19kg / 41.9lbs,火,
84.0,78.0,78.0,109.0,85.0,100.0,噴火龍,6.0,70,太陽之力,5120.0,火 / 飛,♂ 7 : ♀ 1,45.0,リザードン,猛火,,1059860.0,Charizard,怪獸類 / 龍類,"1.7m / 5'07""",04小火龍→05火恐龍進化條件：Level 16,05火恐龍→06噴火龍進化條件：Level 36,---,90.5kg / 199.5lbs,火 , 飛
48.0,65.0,44.0,50.0,64.0,43.0,傑尼龜,7.0,70,雨盤,5120.0,水,♂ 7 : ♀ 1,45.0,ゼニガメ,激流,,1059860.0,Squirtle,怪獸類 / 水中類1,"0.5m / 1'08""",07傑尼龜→08卡咪龜進化條件：Level 16,08卡咪龜→09水箭龜進化條件：Level 36,---,9kg / 19.8lbs,水,
63.0,80.0,59.0,65.0,80.0,58.0,卡咪龜,8.0,70,雨盤,5120.0,水,♂ 7 : ♀ 1,45.0,カメール,激流,,1059860.0,Wartortle,怪獸類 / 水中類1,"1m / 3'03""",07傑尼龜→08卡咪龜進化條件：Level 16,08卡咪龜→09水箭龜進化條件：Level 36,---,22.5kg / 49.6lbs,水,
83.0,100.0,79.0,85.0,105.0,78.0,水箭龜,9.0,70,雨盤,5120.0,水,♂ 7 : ♀ 1,45.0,カメックス,激流,,1059860.0,Blastoise,怪獸類 / 水中類1,"1.6m / 5'03""",07傑尼龜→08卡咪龜進化條件：Level 16,08卡咪龜→09水箭龜進化條件：Level 36,---,85.5kg / 188.5lbs,水,
30.0,35.0,45.0,20.0,20.0,45.0,綠毛蟲,10.0,70,逃跑,3840.0,蟲,♂ 1 : ♀ 1,255.0,キャタピー,鱗粉,,1000000.0,Caterpie,昆蟲類,"0.3m / 1'00""",010綠毛蟲→011鐵甲蛹進化條件：Level 7,011鐵甲蛹→012巴大蝶進化條件：Level 10,17,2.9kg / 6.4lbs,蟲,
