學習條件,招式
未進化,假哭
基礎,暗襲要害
基礎,暗黑爆破
基礎,封印
基礎,急速折返
基礎,抓
基礎,瞪眼
基礎,追打
基礎,磨爪
Lv5,追打
Lv9,磨爪
Lv13,亂抓
Lv17,出奇一擊
Lv21,鬼面
Lv25,挑釁
Lv29,欺詐
Lv34,無理取鬧
Lv39,高速移動
Lv44,查封
Lv49,懲罰
Lv54,詭計
Lv59,封印
Lv64,暗黑爆破
HM04,冥想
HM05,吼叫
HM06,劇毒
HM10,覺醒力量
HM11,大晴天
HM12,挑釁
HM15,破壞光線
HM17,守住
HM18,求雨
HM21,遷怒
HM27,報恩
HM30,暗影球
HM32,影子分身
HM35,噴射火焰
HM40,燕返
HM41,無理取鬧
HM42,硬撐
HM44,睡覺
HM45,迷人
HM46,小偷
HM47,下盤踢
HM48,輪唱
HM52,真氣彈
HM56,投擲
HM63,查封
HM65,暗影爪
HM66,以牙還牙
HM68,終極衝擊
HM75,劍舞
HM77,自我暗示
HM86,打草結
HM87,虛張聲勢
HM88,夢話
HM89,急速折返
HM90,替身
HM95,大聲咆哮
HM97,惡之波動
HM100,密語
遺,仿效
遺,惡之波動
遺,搶奪
遺,看穿
遺,神通力
遺,突襲
遺,臨別禮物
遺,誘惑
遺,雙倍奉還
